filename,page,image_url,source,status,notes
2521.jpg,https://artsandculture.google.com/asset/water-lilies/AwFXeMnZK5jOBw,https://lh3.googleusercontent.com/ci/AL18g_Q7pl_kGcvWaZaXco-L6qiAVJgwKxTqxw-oo6WDfx6mf9ilz9XO3dQXUf_Yo-vDJ1UBGsQRyA,og:image,ok,
14626.jpg,https://artsandculture.google.com/asset/the-return-of-the-wounded-soldier-domenico-induno/2gFcahyx0pcJ7g,https://lh3.googleusercontent.com/ci/AL18g_SLDU_GcdhK2BSydbFO0pXgEG9o6E1DWmvhUXwtn3NjaTZ_0HxdEsd8xH_XNdNvNXxXv3hjlCY,og:image,ok,
8318.jpg,https://artsandculture.google.com/asset/between-red-109-lee-seahyun-and-%EC%9D%B4%EC%84%B8%ED%98%84/kAGVac9EG1p6xg,https://lh3.googleusercontent.com/ci/AL18g_QgcldD9G4NhBAH5UOoiyDaWpU0P0oZRaA5RDBjTGJtcfZjEWtJmiyWXEtXDYWnSwQAY5pbfaw,og:image,ok,
4849.jpg,https://artsandculture.google.com/asset/broken-sea-park-yuna/GwH5jfjDTqmvlw,https://lh3.googleusercontent.com/ci/AL18g_Rf1Usw6u4BoHvlJ2Ccnm0m2SDGhPj8kogQocGv24oAeEDGYBhu7tIcaSkCTuOpWQzJ3ZN4_ts,og:image,ok,
5038.jpg,https://artsandculture.google.com/asset/oil-bottle-unknown/BQE7D2_D2dww5A,https://lh3.googleusercontent.com/ci/AL18g_SyPLrIw_7LpPXPvt09PW2qXUAiRSHrwYei8p9Cr1fVZKcoi4JR63INhM8h7FSi3CBlhBWz,og:image,ok,
13990.jpg,https://artsandculture.google.com/asset/susanna-stefan-wife-of-wolfgang-furter-nicolas-de-neufch%C3%A2tel/RAFL0B0_1poLnw,https://lh3.googleusercontent.com/ci/AL18g_TSK1TctN1jibxSCDCsWkbsQLwbdpoyJyrKHWc5-Y6e0veidSMBmcDcOZRW17dgvBKOb6WAGXI,og:image,ok,
2264.jpg,https://artsandculture.google.com/asset/evolving-rock-no-4-brian-chugg/TAGx829OIOYoJg,https://lh3.googleusercontent.com/ci/AL18g_QCIOiC0xT0O_18WZ9OxQsJfSpNWdeBTXVmIVmGe9AibPl4s_-JB_07TUlz7I3AcopJvKUXcwQ,og:image,ok,
8396.jpg,https://artsandculture.google.com/asset/%D8%A7%D9%85%D8%B1%D8%A3%D8%A9-shaker-hassan-al-said/wwG9HcNQdC6tbQ,https://lh3.googleusercontent.com/ci/AL18g_Sjn7y8X-biRFy2jhVVI-Acbue9_mxg4B9RX0J_3GkyKMT-6cR6TvMMLTERRjz-J2WCr9Ob91Ik,og:image,ok,
8969.jpg,https://artsandculture.google.com/asset/7-virgins-delusional-dream-septych-victor-ehikhamenor/agF2F0iwwI48UQ,https://lh3.googleusercontent.com/ci/AL18g_THZmuB3jc7UD8qttChu07yPDQCTimQXRRU4Zhgd0p1QEJo7p7sBdqeaZwdSjDZK5f3Qo8YM-UY,og:image,ok,
11948.jpg,https://artsandculture.google.com/asset/dom-jo%C3%A3o-vi-listening-to-father-jos%C3%A9-maur%C3%ADcio-at-the-harpsichord-study-henrique-bernardelli/pgEltidSOAjiKA,https://lh3.googleusercontent.com/ci/AL18g_T55OEX4Qso_Vi3s6Bpwcxn5iJfnSSsbzFdMkYth-D-2ZB782BmTSM4Jzr7p0juROB3PwbImgFh,og:image,ok,
4823.jpg,https://artsandculture.google.com/asset/sydney/lwFKdPZrI3SIFg,https://lh3.googleusercontent.com/ci/AL18g_Q5_4rI1Dbi9-9RnuMz3OZhyifm7cldUYPC3P5smNHHCwDq-Z1F5o4YZylsOMY1Bf1FVl1WJw,og:image,ok,
12226.jpg,https://artsandculture.google.com/asset/scorn-paolo-veronese/SwEl408K2ie64Q,https://lh3.googleusercontent.com/ci/AL18g_QnLIfJiV97hrZZ4qQHo0SrK3OWu5keUK9w6jHg4RhheL1xj6FSDr2DEeCBYtT7A6g-H1-SMzQ,og:image,ok,
3739.jpg,https://artsandculture.google.com/asset/city-scape-ii-akhile-ehiforia/vQHVE9LZQ7bKLg,https://lh3.googleusercontent.com/ci/AL18g_TCTSBb67RLrROZkxza53XoondYU2uHsXREgd2fNFQj6Y0sHWzdY5dPboJtoUo8h3EoMWRnE6k,og:image,ok,
8407.jpg,https://artsandculture.google.com/asset/untitled-rafic-charaf/TgHDzneQANmkfg,https://lh3.googleusercontent.com/ci/AL18g_T1OkrAh0bbqMxc0UcrXMnz4WPzPyz9wIp2zgMkgyx5If_-Vtmd7tBnrloGuMYkS6LZv5-lbJPA,og:image,ok,
2960.jpg,https://artsandculture.google.com/asset/the-atmosphere-is-electric-detail-rob-mchaffie/HgHTo2yDs1uWPw,https://lh3.googleusercontent.com/ci/AL18g_Sewn0n1G9AGoGed4W8Pm6C_lPa7cG-YsFItZ7RgJ_AWt3PcC1_9IKxM2L4c_8I-G8NFIuiUKk,og:image,ok,
3141.jpg,https://artsandculture.google.com/asset/ships-in-the-roads-velde-the-younger-willem-van-de/DAGCLn1cAUvyzA,https://lh3.googleusercontent.com/ci/AL18g_RLHkMSC6GCXCCQZIBjH1ZPcy8rhW-W3A5kZRp34OtgYhFEBVZcXGFU-mf42QPCgiaGaVI_E2Q,og:image,ok,
6800.jpg,https://artsandculture.google.com/asset/they-golf-ground-detail-lai-sheng-yu-yang-xiao-gang/EAFY7UqLD82kvw,https://lh3.googleusercontent.com/ci/AL18g_Ti6As1VxwBO2ta3BPmLzGWIVis6jmcnB0Wle85lbVvCPiVP-4x66kBXkLlJcpKFqk9VRGwk9c,og:image,ok,
1404.jpg,https://artsandculture.google.com/asset/the-seine-at-rouen-monet-claude/bwG2nuNbd9xhig,https://lh3.googleusercontent.com/ci/AL18g_Tsn835fhcmNDsbWJ-Zq0Iw7OvDWqeReX9aJN8ER6egkTE25e4r-0Hk-XMHt8XGkxa9q7otLuo,og:image,ok,
