filename,page
11353.jpg,https://artsandculture.google.com/asset/la-natividad/bgG-X-ahQRz8ww
4638.jpg,https://artsandculture.google.com/asset/untitled-ji-won-kim/1gE3Z9L8HOq59A
9662.jpg,https://artsandculture.google.com/asset/young-woman-peeling-apples-nicolaes-maes/AAEX96-QhtjN9Q
7990.jpg,https://artsandculture.google.com/asset/portrait-of-marguerite-of-navarre-jean-clouet-attributed/UgGlchBfaSf7hA
769.jpg,https://artsandculture.google.com/asset/without-title-aldo-spoldi/5wHAlohQd5nC-w
11155.jpg,https://artsandculture.google.com/asset/departure-of-the-amazons-claude-d%C3%A9ruet/GgENhLIqdgFPAA
5401.jpg,https://artsandculture.google.com/asset/sleep-william-baziotes/fwHB49a74GgCVw
9100.jpg,https://artsandculture.google.com/asset/dante-and-beatrice-henry-holiday/XAEGdUo8BUOPYQ
2505.jpg,https://artsandculture.google.com/asset/golden-autumn-slobodka/RAEhuuFDZ4ueJQ
13477.jpg,https://artsandculture.google.com/asset/pallas-athena-drives-away-mars/gQEKiOsmXlKHQA
14742.jpg,https://artsandculture.google.com/asset/portrait-of-a-woman-henri-fantin-latour/vQGhUJzsjOacQA
15839.jpg,https://artsandculture.google.com/asset/the-purification-of-the-temple-jacopo-bassano-and-workshop/eQFfYQGBVSpE5g
13372.jpg,https://artsandculture.google.com/asset/a-cat-stealing-fish-giuseppe-recco/2AEtisC5dCQ-IA
9761.jpg,https://artsandculture.google.com/asset/first-grand-match-of-cricket-played-by-members-of-the-royal-amateur-society-on-hampton-court-green-august-3rd-1836-formerly-unknown-artist-nineteenth-century-and-attributed-to-h-j-aveling-active-1839%E2%80%931842-british/ZgFfiB5R9ciFxg
